algo,host,iter,seed,n,avgDeg,alpha,PLE,T,R,TimeTotal,TimePoints,TimePrepro,TimeEdges,GenNumEdge,GenAvgDeg
hypergirgs,gluten,0,590,21544,1000,1,3,0,7.93843,51.2351,0.733467,22.8654,27.6269,10734832,996.55
hypergirgs,gluten,0,600,46415,1000,1,3,0,9.50959,70.9711,3.3782,23.9688,43.6003,23195602,999.487
hypergirgs,gluten,0,610,100000,1000,1,3,0,11.0624,95.9975,1.51566,6.39103,88.075,49989555,999.791
hypergirgs,gluten,0,620,215443,1000,1,3,0,12.6062,208.218,2.2262,9.69497,196.288,108046542,1003.02
hypergirgs,gluten,0,630,464158,1000,1,3,0,14.1456,452.598,4.72094,15.9005,428.624,231286361,996.585
hypergirgs,gluten,0,640,1000000,1000,1,3,0,15.6828,975.172,20.4177,50.1729,902.068,502589623,1005.18
hypergirgs,gluten,0,650,2154434,1000,1,3,0,17.2189,2104.89,34.8332,81.9135,1976.32,1076034678,998.902
hypergirgs,gluten,0,660,4641588,1000,1,3,0,18.7545,4359.81,137.815,216.516,3992.83,2310691369,995.647
hypergirgs,gluten,0,670,10000000,1000,1,3,0,20.2899,9728.72,254.043,400.992,9048.1,4995689900,999.138
hypergirgs,gluten,0,680,21544346,1000,1,3,0,21.8251,20991.6,494.038,819.325,19591.1,10772190576,1000
hypergirgs,gluten,0,690,46415888,1000,1,3,0,23.3602,41602.9,1058.49,1543.61,38859.7,23188544178,999.164
hypergirgs,gluten,0,700,10000,10,0.6,2.2,0.5,20.9825,47.4555,0.854646,38.4434,8.12024,26292,5.2584
hypergirgs,gluten,0,710,21544,10,0.6,2.2,0.5,22.5176,42.7565,1.4251,27.5442,13.7507,85018,7.8925
hypergirgs,gluten,0,720,46415,10,0.6,2.2,0.5,24.0526,62.7172,1.64405,39.631,21.4099,174639,7.52511
hypergirgs,gluten,0,730,100000,10,0.6,2.2,0.5,25.5877,96.3176,1.72523,43.9907,50.5681,379887,7.59774
hypergirgs,gluten,0,740,215443,10,0.6,2.2,0.5,27.1228,153.406,3.05543,52.3327,97.9717,926226,8.59834
hypergirgs,gluten,0,750,464158,10,0.6,2.2,0.5,28.6578,286.599,6.25236,97.9954,178.719,1826808,7.87149
hypergirgs,gluten,0,760,1000000,10,0.6,2.2,0.5,30.1929,462.512,20.8885,100.355,336.634,4052571,8.10514
hypergirgs,gluten,0,770,2154434,10,0.6,2.2,0.5,31.7279,956.688,37.0493,176.739,731.474,8674742,8.05292
hypergirgs,gluten,0,780,4641588,10,0.6,2.2,0.5,33.263,1973.2,125.383,332.179,1496.5,20872174,8.99355
hypergirgs,gluten,0,790,10000000,10,0.6,2.2,0.5,34.7981,4018.55,288.702,629.906,3063.34,43814476,8.7629
hypergirgs,gluten,0,800,21544346,10,0.6,2.2,0.5,36.3331,8223.55,499.82,1258.79,6391.85,93414289,8.67181
hypergirgs,gluten,0,810,46415888,10,0.6,2.2,0.5,37.8682,17354,1053.97,2420.3,13730.2,201182690,8.6687
hypergirgs,gluten,0,820,10000,100,0.6,2.2,0.5,16.3774,17.4149,0.84936,7.57174,8.9745,253719,50.7438
hypergirgs,gluten,0,830,21544,100,0.6,2.2,0.5,17.9124,54.4512,1.30466,35.0759,18.0532,600274,55.7254
hypergirgs,gluten,0,840,46415,100,0.6,2.2,0.5,19.4475,53.5549,1.79497,24.7306,27.006,1307244,56.3285
hypergirgs,gluten,0,850,100000,100,0.6,2.2,0.5,20.9825,73.0368,1.62924,19.668,51.7098,3011907,60.2381
hypergirgs,gluten,0,860,215443,100,0.6,2.2,0.5,22.5176,146.438,2.17015,27.6438,116.594,7358948,68.3146
hypergirgs,gluten,0,870,464158,100,0.6,2.2,0.5,24.0527,304.044,5.1333,37.4292,261.39,16605220,71.5499
hypergirgs,gluten,0,880,1000000,100,0.6,2.2,0.5,25.5877,662.502,10.4197,67.6007,581.808,35212635,70.4253
hypergirgs,gluten,0,890,2154434,100,0.6,2.2,0.5,27.1228,1515.49,37.1137,113.408,1355.88,79937372,74.2073
hypergirgs,gluten,0,900,4641588,100,0.6,2.2,0.5,28.6578,3516.39,142.856,245.955,3102.45,193048747,83.1822
hypergirgs,gluten,0,910,10000000,100,0.6,2.2,0.5,30.1929,7675.32,298.872,444.064,6903.1,414416553,82.8833
hypergirgs,gluten,0,920,21544346,100,0.6,2.2,0.5,31.7279,16713.7,603.075,1079.15,14946.1,904054987,83.925
hypergirgs,gluten,0,930,46415888,100,0.6,2.2,0.5,33.263,35625,1073.9,1748.4,32690.3,1948996564,83.9797
hypergirgs,gluten,0,940,21544,1000,0.6,2.2,0.5,13.3072,109.252,1.46254,37.1242,70.6494,4264495,395.887
hypergirgs,gluten,0,950,46415,1000,0.6,2.2,0.5,14.8423,162.691,3.89749,27.6019,131.156,10630591,458.067
hypergirgs,gluten,0,960,100000,1000,0.6,2.2,0.5,16.3774,340.039,1.5379,18.7211,319.352,25019003,500.38
hypergirgs,gluten,0,970,215443,1000,0.6,2.2,0.5,17.9124,785.329,2.6356,17.5633,764.752,61088895,567.1
hypergirgs,gluten,0,980,464158,1000,0.6,2.2,0.5,19.4475,1841.86,8.41788,34.6006,1798.81,137338683,591.776
hypergirgs,gluten,0,990,1000000,1000,0.6,2.2,0.5,20.9825,4213.26,17.6381,66.0646,4126.74,312365643,624.731
hypergirgs,gluten,0,1000,2154434,1000,0.6,2.2,0.5,22.5176,9958.27,41.724,116.939,9784.16,726289251,674.227
hypergirgs,gluten,0,1010,4641588,1000,0.6,2.2,0.5,24.0527,23034.5,159.382,244.393,22616.1,1634513165,704.29
hypergirgs,gluten,0,1020,10000000,1000,0.6,2.2,0.5,25.5877,52518.4,298.176,412.999,51756.6,3728047295,745.609
hypergirgs,gluten,0,1030,21544346,1000,0.6,2.2,0.5,27.1228,118034,582.966,783.832,116571,8298801077,770.392
hypergirgs,gluten,0,1050,10000,10,1,3,0.5,16.5881,46.2949,1.09297,37.2827,7.88995,49952,9.9904
hypergirgs,gluten,0,1060,21544,10,1,3,0.5,18.1231,52.8296,4.98569,38.4197,9.40278,106810,9.91552
hypergirgs,gluten,0,1070,46415,10,1,3,0.5,19.6582,49.6977,3.67869,33.8677,12.1276,240474,10.3619
hypergirgs,gluten,0,1080,100000,10,1,3,0.5,21.1933,62.0011,5.87299,35.5473,20.5581,501856,10.0371
hypergirgs,gluten,0,1090,215443,10,1,3,0.5,22.7283,96.4994,9.54027,46.5098,40.4206,1087837,10.0986
hypergirgs,gluten,0,1100,464158,10,1,3,0.5,24.2634,114.017,4.60382,39.1754,69.9445,2323774,10.0129
hypergirgs,gluten,0,1110,1000000,10,1,3,0.5,25.7984,262.929,9.69321,69.3678,180.91,4994570,9.98914
hypergirgs,gluten,0,1120,2154434,10,1,3,0.5,27.3335,519.932,37.8558,109.328,363.433,10721945,9.95338
hypergirgs,gluten,0,1130,4641588,10,1,3,0.5,28.8686,1137.02,118.995,241.554,762.287,23217598,10.0042
hypergirgs,gluten,0,1140,10000000,10,1,3,0.5,30.4036,2324.86,280.044,463.656,1528.71,50044469,10.0089
hypergirgs,gluten,0,1150,21544346,10,1,3,0.5,31.9387,4672.9,548.931,919.804,3141.88,107688173,9.99688
hypergirgs,gluten,0,1160,46415888,10,1,3,0.5,33.4737,9584.5,1008.06,1909.75,6558.25,232050218,9.99874
hypergirgs,gluten,0,1170,10000,100,1,3,0.5,11.9829,36.3487,0.865169,17.0188,18.4519,507182,101.436
hypergirgs,gluten,0,1180,21544,100,1,3,0.5,13.518,49.0987,4.92228,21.1853,22.9766,1074796,99.7768
hypergirgs,gluten,0,1190,46415,100,1,3,0.5,15.053,58.31,1.33921,13.5419,43.2824,2306114,99.3693
hypergirgs,gluten,0,1200,100000,100,1,3,0.5,16.5881,103.363,1.67428,19.8309,81.8386,4965955,99.3191
hypergirgs,gluten,0,1210,215443,100,1,3,0.5,18.1232,195.15,2.15232,17.294,175.383,10765800,99.9411
hypergirgs,gluten,0,1220,464158,100,1,3,0.5,19.6582,410.005,5.0444,28.6316,376.238,23385069,100.763
hypergirgs,gluten,0,1230,1000000,100,1,3,0.5,21.1933,876.316,9.671,65.4864,798.449,49947378,99.8948
hypergirgs,gluten,0,1240,2154434,100,1,3,0.5,22.7283,1841.9,25.1346,86.3669,1721.34,107582597,99.8709
hypergirgs,gluten,0,1250,4641588,100,1,3,0.5,24.2634,4139.19,118.202,235.038,3771.74,231754545,99.86
hypergirgs,gluten,0,1260,10000000,100,1,3,0.5,25.7984,8709.42,244.012,392.463,8043.04,499208664,99.8417
hypergirgs,gluten,0,1270,21544346,100,1,3,0.5,27.3335,18910.9,484.626,843.201,17490.5,1077724742,100.047
